dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,512,4,50000,0.1,40,-1,0.0025,5,2024-03-28_07-26-58,successful,0.0563620162976257,0.011622231072587,0.0523841059602648,0.0205955801709943,
1m,512,4,50000,0.001,40,-1,0.01,5,2024-03-28_07-29-51,successful,0.0706356601023274,0.0172609184972353,0.0647682119205298,0.0313808060131694,
1m,512,4,50000,0.1,40,-1,0.01,5,2024-03-28_07-32-45,successful,0.0566784957608931,0.011672070736458,0.0525827814569536,0.0208659345259027,
1m,512,4,50000,0.001,40,-1,0.1,5,2024-03-28_07-35-38,successful,0.0706740211184523,0.0174938401006999,0.0643046357615894,0.0318921446091047,
1m,512,4,50000,0.1,40,-1,0.1,5,2024-03-28_07-38-31,successful,0.0563474176867547,0.0115987795963762,0.0523178807947019,0.0205076108553695,
1m,1024,1,4096,0.001,40,-1,0.0025,5,2024-03-28_11-00-51,successful,0.0652846749947846,0.0169861829856952,0.0586423841059602,0.0308756316395787,
1m,1024,1,4096,0.1,40,-1,0.0025,5,2024-03-28_11-05-19,successful,0.055923534165101,0.011117573248546,0.0527483443708609,0.0205792029610051,
1m,1024,1,4096,0.001,40,-1,0.01,5,2024-03-28_11-09-48,successful,0.059090189048085,0.0147095695307821,0.0539403973509933,0.0288370088637669,
1m,1024,1,4096,0.1,40,-1,0.01,5,2024-03-28_11-14-16,successful,0.0559095725432758,0.0111387843154533,0.0527152317880794,0.0205977712728764,
1m,1024,1,4096,0.001,40,-1,0.1,5,2024-03-28_11-18-45,successful,0.0407498182913065,0.0087041698129026,0.0385761589403973,0.0177222249151335,
1m,1024,1,4096,0.1,40,-1,0.1,5,2024-03-28_11-23-14,successful,0.0561365626856728,0.011366315740491,0.0529139072847682,0.0207121814714379,
1m,1024,1,10000,0.001,40,-1,0.0025,5,2024-03-28_11-27-43,successful,0.0661679826434212,0.0171795871599924,0.0597682119205298,0.0328693532949096,
1m,1024,1,10000,0.1,40,-1,0.0025,5,2024-03-28_11-30-49,successful,0.0558680155940792,0.0112462690129908,0.0525165562913907,0.020318683469783,
1m,1024,1,10000,0.001,40,-1,0.01,5,2024-03-28_11-33-56,successful,0.0627849529974786,0.0161331066538539,0.0565562913907284,0.0301200375874792,
1m,1024,1,10000,0.1,40,-1,0.01,5,2024-03-28_11-37-03,successful,0.0561053516372201,0.0113525907696726,0.0527814569536423,0.020704630453644,
1m,1024,1,10000,0.001,40,-1,0.1,5,2024-03-28_11-40-09,successful,0.039680040594902,0.0090413802043262,0.0366225165562913,0.0175141105487439,
1m,1024,1,10000,0.1,40,-1,0.1,5,2024-03-28_11-43-15,successful,0.0564027275955709,0.0114472686881312,0.0529470198675496,0.0206791708330851,
1m,1024,1,50000,0.001,40,-1,0.0025,5,2024-03-28_11-46-22,successful,0.0673541586177644,0.0170502608982121,0.0606953642384106,0.0326705221584544,
1m,1024,1,50000,0.1,40,-1,0.0025,5,2024-03-28_11-49-14,successful,0.0559010492966268,0.0112646154634714,0.0524503311258278,0.0206219955965426,
1m,1024,1,50000,0.001,40,-1,0.01,5,2024-03-28_11-52-07,successful,0.0657070765882332,0.0168131760681149,0.0598344370860927,0.0318952305057006,
1m,1024,1,50000,0.1,40,-1,0.01,5,2024-03-28_11-54-59,successful,0.0557536538484732,0.0112342644166001,0.0523841059602648,0.0205051733753256,
1m,1024,1,50000,0.001,40,-1,0.1,5,2024-03-28_11-57-51,successful,0.0548594796590075,0.0138719439368939,0.0498344370860927,0.0268561485488955,
1m,1024,1,50000,0.1,40,-1,0.1,5,2024-03-28_12-00-42,successful,0.0555198869453888,0.0112077470618933,0.0519536423841059,0.0203407991908549,
1m,1024,2,4096,0.001,40,-1,0.0025,5,2024-03-28_12-03-33,successful,0.0683498787781813,0.0175455583928832,0.0616225165562914,0.0326964910647846,
